dataset,attn_type,rpe_type,epochs_total,epoch,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
mnist,full,none,5,1,0.001,128,1.490995904,0.450233333,17.33648753,1.071373512,0.621,1.74761343
mnist,full,none,5,2,0.001,128,0.837567942,0.7107,15.02231288,0.629013834,0.7863,1.707298279
mnist,full,none,5,3,0.001,128,0.630840715,0.785166667,15.00146699,0.663725019,0.7749,1.700385094
mnist,full,none,5,4,0.001,128,0.521147348,0.823533333,15.54862332,0.496491023,0.833,2.080714464
mnist,full,none,5,5,0.001,128,0.454876682,0.8486,15.00995278,0.410814748,0.8644,1.678266287
mnist,favor+,none,5,1,0.001,128,1.294675401,0.5294,18.84581637,0.796078727,0.7289,2.377284765
mnist,favor+,none,5,2,0.001,128,0.748432315,0.744116667,18.17753601,0.585203906,0.803,1.941248894
mnist,favor+,none,5,3,0.001,128,0.576643521,0.805433333,18.83242941,0.509717225,0.8278,1.95385623
mnist,favor+,none,5,4,0.001,128,0.480854261,0.838566667,18.20593119,0.422511178,0.8567,2.168063164
mnist,favor+,none,5,5,0.001,128,0.429327569,0.85495,18.78196263,0.445182507,0.8494,1.953516483
mnist,favor+,rope,5,1,0.001,128,0.458447556,0.85445,20.07329369,0.191815346,0.94,2.03344202
mnist,favor+,rope,5,2,0.001,128,0.152723373,0.953733333,19.11537814,0.12554587,0.9619,2.299996614
mnist,favor+,rope,5,3,0.001,128,0.11725289,0.963116667,19.70253563,0.121619278,0.9631,2.027264833
mnist,favor+,rope,5,4,0.001,128,0.095631097,0.969883333,19.96455097,0.092358211,0.9719,2.007407188
mnist,favor+,rope,5,5,0.001,128,0.079029168,0.974733333,19.2029047,0.077703179,0.9744,2.844400883
mnist,favor+,classic,5,1,0.001,128,1.40980502,0.479566667,18.93204021,1.044175339,0.6215,1.953022718
mnist,favor+,classic,5,2,0.001,128,0.946903604,0.66455,19.39988518,0.758958134,0.7328,1.95551157
mnist,favor+,classic,5,3,0.001,128,0.659943503,0.771666667,18.66150975,0.521312994,0.8226,2.684141397
mnist,favor+,classic,5,4,0.001,128,0.49031267,0.834166667,18.78021717,0.388339859,0.8705,1.947536469
mnist,favor+,classic,5,5,0.001,128,0.404501121,0.8658,19.39287829,0.403281436,0.8671,1.955924273
mnist,favor+,string,5,1,0.001,128,0.728788587,0.74745,19.02732873,0.247325595,0.9268,2.637847185
mnist,favor+,string,5,2,0.001,128,0.219040234,0.93175,18.9007802,0.164124188,0.9482,1.963301659
mnist,favor+,string,5,3,0.001,128,0.162160434,0.949283333,19.63204193,0.14002606,0.9578,1.965653896
mnist,favor+,string,5,4,0.001,128,0.132154371,0.9585,18.6782918,0.131965962,0.9565,2.527900696
mnist,favor+,string,5,5,0.001,128,0.112423089,0.964066667,19.06734896,0.136368604,0.9576,1.968747854
mnist,relu,none,5,1,0.001,128,1.457089737,0.462166667,14.8966105,1.035467317,0.6261,2.345891476
mnist,relu,none,5,2,0.001,128,0.896654734,0.684333333,15.03886175,0.757292658,0.7373,1.669318914
mnist,relu,none,5,3,0.001,128,0.685662893,0.765033333,14.77381921,0.589195315,0.7972,1.714436769
mnist,relu,none,5,4,0.001,128,0.556729816,0.81115,14.89326453,0.526102402,0.8212,2.110010862
mnist,relu,none,5,5,0.001,128,0.47520343,0.84085,15.31263685,0.455241042,0.8436,1.713349342
mnist,relu,rope,5,1,0.001,128,0.820026235,0.717116667,16.2186594,0.282055927,0.9151,1.770278215
mnist,relu,rope,5,2,0.001,128,0.227490398,0.928383333,16.7942028,0.16265718,0.9489,2.085309744
mnist,relu,rope,5,3,0.001,128,0.152312218,0.952233333,16.25920129,0.115018236,0.964,1.732147932
mnist,relu,rope,5,4,0.001,128,0.122124219,0.961133333,16.12098861,0.11391863,0.9643,2.535807848
mnist,relu,rope,5,5,0.001,128,0.102166968,0.96655,16.29018641,0.095214013,0.9697,1.776275635
mnist,relu,classic,5,1,0.001,128,1.609039747,0.396883333,15.89564705,1.364029402,0.49,1.743979216
