dataset,attn_type,epoch,epochs_total,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
mnist,full,1,5,0.001,128,1.5228517273585003,0.4350333333333333,17.844033241271973,1.031476844406128,0.6315,2.053546905517578
mnist,full,2,5,0.001,128,0.8520229397773743,0.7037,16.650104761123657,0.6762605980873108,0.7653,1.8139264583587646
mnist,full,3,5,0.001,128,0.5927496789932251,0.7986,15.847929954528809,0.5263518083572387,0.8216,1.780623435974121
mnist,full,4,5,0.001,128,0.4752599978129069,0.8399333333333333,16.049520254135132,0.444384703874588,0.8485,2.604975461959839
mnist,full,5,5,0.001,128,0.40716685077349346,0.8618166666666667,15.725719213485718,0.3715163659572601,0.8756,1.7821848392486572
mnist,favor+,1,5,0.001,128,1.327367517153422,0.51935,19.54734206199646,0.9296188856124878,0.6704,2.6102864742279053
mnist,favor+,2,5,0.001,128,0.74557627547582,0.7440333333333333,19.151305675506592,0.6226099736213684,0.7815,2.104261636734009
mnist,favor+,3,5,0.001,128,0.5713449205080668,0.80605,19.78150248527527,0.5133163348197937,0.8319,2.082515001296997
mnist,favor+,4,5,0.001,128,0.48634563873608905,0.8361,19.520910263061523,0.4995316143035889,0.8348,2.4707717895507812
mnist,favor+,5,5,0.001,128,0.41774493231773374,0.8592166666666666,19.16932487487793,0.3965792671918869,0.8662,2.0731570720672607
mnist,relu,1,5,0.001,128,1.438161217625936,0.46245,17.29446029663086,1.0908773319244385,0.6048,1.8864386081695557
mnist,relu,2,5,0.001,128,0.8285942198117574,0.7133,16.21519160270691,0.7090201407432556,0.7571,1.8643476963043213
mnist,relu,3,5,0.001,128,0.5880386284828186,0.8010333333333334,16.75138211250305,0.5591957349777221,0.8089,2.2999565601348877
mnist,relu,4,5,0.001,128,0.4658767328103383,0.8441333333333333,16.367801666259766,0.37352495050430295,0.8735,1.853379726409912
mnist,relu,5,5,0.001,128,0.395139493004481,0.8652166666666666,16.23476552963257,0.3386434630155563,0.8899,2.553711414337158
cifar10,full,1,20,0.001,128,1.838037293395996,0.30982,15.439470052719116,1.6894833909988403,0.3766,2.381098985671997
cifar10,full,2,20,0.001,128,1.565041371383667,0.42658,14.999887704849243,1.4966735708236694,0.453,1.6732094287872314
cifar10,full,3,20,0.001,128,1.462927590675354,0.46706,15.009374618530273,1.4579656326293946,0.4713,1.667271614074707
cifar10,full,4,20,0.001,128,1.392559715232849,0.4918,14.91094708442688,1.4456712421417237,0.482,2.249722480773926
cifar10,full,5,20,0.001,128,1.3424376593017577,0.51382,15.398477554321289,1.3745333641052246,0.5089,1.666914463043213
cifar10,full,6,20,0.001,128,1.3116208880233764,0.52472,14.949391841888428,1.3223404602050781,0.5212,1.6983692646026611
cifar10,full,7,20,0.001,128,1.2801507815170288,0.53718,14.993602991104126,1.3000718753814697,0.533,1.9381325244903564
cifar10,full,8,20,0.001,128,1.245142646713257,0.55296,15.458515644073486,1.2905523551940918,0.5419,1.68068265914917
cifar10,full,9,20,0.001,128,1.2214986140060424,0.5587,15.008597612380981,1.2588613233566284,0.545,1.6761589050292969
cifar10,full,10,20,0.001,128,1.1958568812561035,0.5681,14.94179916381836,1.2650396160125732,0.5465,1.7282731533050537
cifar10,full,11,20,0.001,128,1.1732796151733398,0.57632,15.49246096611023,1.2625993000030518,0.5454,1.9923865795135498
cifar10,full,12,20,0.001,128,1.1541264828491211,0.58444,14.979060411453247,1.2175852650642396,0.56,1.688924789428711
cifar10,full,13,20,0.001,128,1.1306269318389892,0.59136,14.862008810043335,1.242820483493805,0.5559,1.6844282150268555
cifar10,full,14,20,0.001,128,1.1101379108047484,0.5984,15.161880254745483,1.217805832672119,0.5653,2.2563750743865967
cifar10,full,15,20,0.001,128,1.0948048120117186,0.60326,14.865382194519043,1.2377177603721619,0.5592,1.7026512622833252
cifar10,full,16,20,0.001,128,1.0756014813232422,0.60926,14.948209762573242,1.209653624534607,0.5707,1.635025978088379
cifar10,full,17,20,0.001,128,1.0532724444580077,0.62072,14.788147687911987,1.2202756118774414,0.5674,2.1642603874206543
cifar10,full,18,20,0.001,128,1.0340244832611083,0.62618,15.274971008300781,1.215171683883667,0.568,1.6368293762207031
cifar10,full,19,20,0.001,128,1.0137357353019714,0.63576,14.933825254440308,1.212069993019104,0.5712,1.6834032535552979
cifar10,full,20,20,0.001,128,0.9939208711242675,0.642,14.930696487426758,1.230665105342865,0.5693,1.725393295288086
cifar10,favor+,1,20,0.001,128,1.8497051567840577,0.30388,17.813979148864746,1.68592894821167,0.3779,1.9178409576416016
cifar10,favor+,2,20,0.001,128,1.6110248293685914,0.4022,17.442372798919678,1.558987598991394,0.4291,2.532402515411377
cifar10,favor+,3,20,0.001,128,1.5214761423110963,0.44276,17.518030881881714,1.493863628578186,0.4531,1.8720462322235107
cifar10,favor+,4,20,0.001,128,1.454849433631897,0.46884,17.616016387939453,1.4479197032928466,0.4726,2.4553656578063965
cifar10,favor+,5,20,0.001,128,1.4096823691558837,0.48816,17.37927556037903,1.44098620262146,0.4797,1.8645751476287842
cifar10,favor+,6,20,0.001,128,1.3697378107070923,0.50364,17.864750862121582,1.3694205924987792,0.504,2.24094557762146
cifar10,favor+,7,20,0.001,128,1.339754055633545,0.5115,17.3883273601532,1.3895222053527831,0.5011,1.896343469619751
cifar10,favor+,8,20,0.001,128,1.3135955112075806,0.5204,18.380587100982666,1.3675921897888184,0.5058,1.9424917697906494
cifar10,favor+,9,20,0.001,128,1.2830672615432739,0.53568,17.377662420272827,1.3343025074005126,0.5176,1.9245574474334717
cifar10,favor+,10,20,0.001,128,1.2610634504318237,0.54156,18.078988552093506,1.3130802154541015,0.5206,1.8857269287109375
cifar10,favor+,11,20,0.001,128,1.2410900802993774,0.55068,17.33784794807434,1.3238543210983276,0.5169,1.8962321281433105
cifar10,favor+,12,20,0.001,128,1.226305108985901,0.55694,18.229413747787476,1.3089512184143066,0.5305,1.9019899368286133
cifar10,favor+,13,20,0.001,128,1.204871443977356,0.56298,17.44717788696289,1.2808417631149291,0.5357,1.9037668704986572
cifar10,favor+,14,20,0.001,128,1.1847388109588624,0.56998,18.173170566558838,1.301176728630066,0.5339,1.877274990081787
cifar10,favor+,15,20,0.001,128,1.1666978564071655,0.57912,17.53035306930542,1.2541450288772582,0.5508,2.0768356323242188
cifar10,favor+,16,20,0.001,128,1.143953727798462,0.58536,18.06269073486328,1.2277916526794435,0.5551,1.9396512508392334
cifar10,favor+,17,20,0.001,128,1.1272668546676636,0.59012,17.440343618392944,1.2445755847930908,0.5526,2.2909724712371826
cifar10,favor+,18,20,0.001,128,1.115961386642456,0.59772,17.851709127426147,1.241676085281372,0.5589,1.8856666088104248
cifar10,favor+,19,20,0.001,128,1.0944614052581787,0.60528,17.41870093345642,1.243854819869995,0.5545,2.433320999145508
cifar10,favor+,20,20,0.001,128,1.0782149052619934,0.60918,17.81455683708191,1.2551375370025635,0.5524,1.9149260520935059
cifar10,relu,1,20,0.001,128,1.924683138999939,0.2707,15.429391622543335,1.7926518621444703,0.3202,2.3430705070495605
cifar10,relu,2,20,0.001,128,1.7234213312530517,0.35044,15.580054998397827,1.719179668045044,0.3601,1.7389130592346191
cifar10,relu,3,20,0.001,128,1.609706237564087,0.40606,15.278907775878906,1.5796020973205567,0.4124,1.7367138862609863
cifar10,relu,4,20,0.001,128,1.5217955960464478,0.44132,15.367552995681763,1.5184049575805665,0.4385,2.3360908031463623
cifar10,relu,5,20,0.001,128,1.455309937286377,0.46666,15.476684808731079,1.451803190612793,0.465,1.6811647415161133
cifar10,relu,6,20,0.001,128,1.4129437494659425,0.48672,15.25042986869812,1.404771492767334,0.4869,1.7239665985107422
cifar10,relu,7,20,0.001,128,1.3816788971710205,0.49642,15.537662744522095,1.3870060214996338,0.496,2.355206251144409
cifar10,relu,8,20,0.001,128,1.3494174966812134,0.51046,15.41692590713501,1.3621919708251953,0.5062,1.7041785717010498
cifar10,relu,9,20,0.001,128,1.3221368758010865,0.51934,15.422025918960571,1.3638384981155396,0.5017,1.6696431636810303
cifar10,relu,10,20,0.001,128,1.4184506272125244,0.484,15.473282814025879,1.7829592510223389,0.3449,2.3744454383850098
cifar10,relu,11,20,0.001,128,1.6334750198364258,0.40266,15.133145809173584,1.5606182830810547,0.4361,1.736182451248169
cifar10,relu,12,20,0.001,128,1.4541591003417969,0.47232,15.19021201133728,1.484000496673584,0.4635,1.6892483234405518
cifar10,relu,13,20,0.001,128,1.3808648626708984,0.50024,15.283714056015015,1.391582374382019,0.5029,2.35381817817688
cifar10,relu,14,20,0.001,128,1.3229881993865966,0.52324,15.185737609863281,1.3445788585662841,0.5124,1.6784470081329346
cifar10,relu,15,20,0.001,128,1.2792312412261964,0.53772,15.210025310516357,1.3145846378326416,0.5253,1.6625947952270508
cifar10,relu,16,20,0.001,128,1.2513790711975097,0.54602,15.285789251327515,1.300619333076477,0.531,2.3087456226348877
cifar10,relu,17,20,0.001,128,1.2272757167816162,0.55608,15.43544602394104,1.2879812618255615,0.5341,1.6821136474609375
cifar10,relu,18,20,0.001,128,1.1989905669021605,0.56488,15.113915920257568,1.2875390615463256,0.5402,1.737647533416748
cifar10,relu,19,20,0.001,128,1.1812004700469971,0.57208,15.41422700881958,1.2645224536895752,0.5473,2.349208354949951
cifar10,relu,20,20,0.001,128,1.1588690658950807,0.58046,15.371675491333008,1.254316500854492,0.5449,1.680222749710083
